Qty,Qty to buy,Value,Device,Package,Parts,Description,Référence Farnell
2,0,small signals,DIODE-SOD323-R,SOD323-R,D7  D8,DIODE,/
7,0,schottky,DIODE-SOD523,SOD523,D1  D2  D3  D4  D5  D6  D9,DIODE,/
1,0,,PINHD-1X3,1X03,SPI,PIN HEADER,/
1,0,,SMDTOP-10,SMDTOP10,ROOF,AMP connector,/
5,0,,SMDTOP-4,SMDTOP4,AX12USB  SENS1  SENS2  SENS3  SERIAL,AMP connector,/
3,0,,SMDTOP-6,SMDTOP6,BATTLV  RPI  RPI2,AMP connector,/
1,0,0.47uF,CPOL-USE2-5,E2-5,C5,POLARIZED CAPACITOR,/
8,0,0R,R-US_R0805,R0805,5V  5V1  5V2  12V  12V1  12V2  AXF  AXFUSE1,RESISTOR,/
9,0,100n,C-EUC0805,C0805,C1  C2  C6  C7  C8 C11 C12  C13  C16,CAPACITOR,/
1,0,10K,R-US_R0805,R0805,R18,RESISTOR,/
2,0,130K,R-US_R0805,R0805,R5  R13,RESISTOR,/
2,0,13K,R-US_R0805,R0805,R4  R12,RESISTOR,/
6,0,1K,R-US_R0805,R0805,R19  R21  R22  R23  R24  R25,RESISTOR,/
2,0,2.2K,R-US_R0805,R0805,R16  R20,RESISTOR,/
1,0,220uF,CPOL-USE2.5-7,E2 5-7,C10,POLARIZED CAPACITOR,/
1,0,220uF,CPOL-USE3.5-8,E3 5-8,C9,POLARIZED CAPACITOR,/
2,0,22K,R-US_R0805,R0805,R1  R9,RESISTOR,/
1,0,22uF,CPOL-USE2-5,E2-5,C4,POLARIZED CAPACITOR,/
1,0,360R,R-US_R0805,R0805,R8,RESISTOR,/
8,0,470R,R-US_R0805,R0805,R6  R7  R14  R15  R26  R27  R28  R29,RESISTOR,/
2,0,47K,R-US_R0805,R0805,R2  R10,RESISTOR,/
2,0,51K,R-US_R0805,R0805,R3  R11,RESISTOR,/
2,0,5267-3,5267-3,5267-3,AX12  AX12-2,,9979620
1,0,78L05SMD,78L05SMD,SO08,IC3,VOLTAGE REGULATOR,/
1,0,ADUM7441ARQZ,ADUM7441ARQZ,SOP64P600X175-16N,U3,Quad-Channel Digital Isolators,/
1,0,BC847,BC847,SOT23,T1,NPN TRANSISTOR,/
1,0,REGUL_PTH,REGUL_PTH,REGUL_PTH,U$2,pth08080w,/
2,0,TSM2312CX,TSM2306CX,SOT95P280X130-3N,U2  U5,N-Channel MOSFET,/
1,1,,PINHD-2X16,2X16,JP1,PIN HEADER,1668393
2,2,LM293AD,LM293AD,SOIC127P600X175-8N,U1  U8,DUAL COMPARATORS,2382616
4,4,,MSTBV2,MSTBV2,LOGIC  MOTOR1  MOTOR2  POWER,PHOENIX,TBD
2,2,,3 colors LED,,,,TBD
